"","speciesName","dummytype","accessURI","dummytext"
"1","Great Egret - Ardea alba","mammal","https://observation.org/photos/8131796.jpg","Great Egret - Ardea alba: The Great Egret is a large, white wading bird found in wetland areas around the world. They are known for their elegant appearance and can often be seen standing motionless in shallow water waiting for prey to come within striking distance. Their diet consists mainly of fish and amphibians."
"2","Tufted Duck - Aythya fuligula","bird","https://observation.org/photos/8131484.jpg","Common Buzzard - Buteo buteo: The Common Buzzard is a bird of prey found across Europe and Asia. They are typically brown in color with a white underbelly and can often be seen soaring in the sky. They feed on a variety of small mammals and birds and are known for their sharp talons and keen eyesight."
"3","Great Tit - Parus major","reptile","https://observation.org/photos/8131428.jpg","Common Chaffinch - Fringilla coelebs: The Common Chaffinch is a small passerine bird found throughout Europe. The male has a colorful plumage of pink, blue, and green, while the female is more subdued in color. They feed on a variety of seeds and insects and are known for their distinctive song."
"4","European Robin - Erithacus rubecula","others","https://observation.org/photos/8131419.jpg","Common Blackbird - Turdus merula: The Common Blackbird is a species of thrush found throughout Europe and Asia. The male is black with a yellow beak, while the female is brown with a speckled breast. They feed on a variety of insects and berries and are known for their beautiful singing voice."
"5","Common Kingfisher - Alcedo atthis","reptile","https://observation.org/photos/8131379.jpg","Common Chaffinch - Fringilla coelebs: The Common Chaffinch is a small passerine bird found throughout Europe. The male has a colorful plumage of pink, blue, and green, while the female is more subdued in color. They feed on a variety of seeds and insects and are known for their distinctive song."
"6","Common Shelduck - Tadorna tadorna","bird","https://observation.org/photos/8131477.jpg","Common Buzzard - Buteo buteo: The Common Buzzard is a bird of prey found across Europe and Asia. They are typically brown in color with a white underbelly and can often be seen soaring in the sky. They feed on a variety of small mammals and birds and are known for their sharp talons and keen eyesight."
"7","House Sparrow - Passer domesticus","mammal","https://observation.org/photos/8131721.jpg","Great Egret - Ardea alba: The Great Egret is a large, white wading bird found in wetland areas around the world. They are known for their elegant appearance and can often be seen standing motionless in shallow water waiting for prey to come within striking distance. Their diet consists mainly of fish and amphibians."
"8","Common Merganser - Mergus merganser","bird","https://observation.org/photos/8131224.jpg","Eurasian Coot - Fulica atra: The Eurasian Coot is a medium-sized waterbird found across Europe and Asia. They have black feathers, a white beak, and distinctive lobed feet. They are often seen diving in shallow water to feed on aquatic plants and invertebrates."
"9","Eurasian Nuthatch - Sitta europaea","mammal","https://observation.org/photos/8138689.jpg","Great Egret - Ardea alba: The Great Egret is a large, white wading bird found in wetland areas around the world. They are known for their elegant appearance and can often be seen standing motionless in shallow water waiting for prey to come within striking distance. Their diet consists mainly of fish and amphibians."
"10","Barnacle Goose - Branta leucopsis","reptile","https://observation.org/photos/8131182.jpg","Common Chaffinch - Fringilla coelebs: The Common Chaffinch is a small passerine bird found throughout Europe. The male has a colorful plumage of pink, blue, and green, while the female is more subdued in color. They feed on a variety of seeds and insects and are known for their distinctive song."
